"","PLT_CN","LAT","LON","ELEV","SPCD_202","SPCD_746","SPCD_122","SPCD_814","SPCD_19","SPCD_93","SPCD_65","SPCD_106","SPCD_108","SPCD_18","SOIL_PLT_CN","FIELD_MOIST_SOIL_WT","OVEN_DRY_SOIL_WT","TOTAL_WATER_CONTENT_PCT","BULK_DENSITY","C_ORG_PCT","C_INORG_PCT","C_TOTAL_PCT","N_TOTAL_PCT","TXTRLYR1","TXTRLYR2","FORFLTHK","LTRLRTHK","CONDID","DPTHSBSL","AVGT","JANT","JULT","PPT","VARS","VARW","VARP","VARA","DIFS","DIFW","PPTS","PPTW"
"1",3641686010690,37.298029,-107.313345,8050,9,17,0,0,0,0,0,0,0,0,188760462020004,322.94,287.435,12.65,1.588,1.6595,0.0629999999999999,1.7225,0.127,"2","2",1.725,1.3,1,8.3,280.279119954738,270.012049990347,291.702429279891,27.6231175519426,6.96840482261365,14.6615135936461,1.75201919955292e-05,78.9467019669317,14.7196853263983,12.9653999290221,6.33294833211491,6.7546968452397
"2",3641756010690,37.207631,-107.422377,8090,8,0,4,14,0,0,0,0,0,0,31660267010690,240.566,212.598,12.198,0.5824,23.502,0.1104,23.6124,0.7338,"1","1",0.775,0.65,1,1.3,280.547327131726,270.239935867072,291.981973608826,27.0446427697189,7.0368403933406,14.7684149468527,1.70465510902703e-05,79.5046713114428,14.6781421517345,12.8274461984783,6.19008439220681,6.67016600866364
"3",3641817010690,37.029511,-106.908378,7160,9,0,16,19,0,0,0,0,0,0,31660398010690,165.486,147.742,9.238,0.6402,11.8436,0.0742,11.9178,0.4278,"2","2",1.225,1.225,1,4.6,280.249588459397,270.102046134263,291.449496549863,27.082662091112,6.64333203324036,14.6557660631883,1.79107137676376e-05,76.9727879964949,14.6558754112179,13.139383305333,6.83016747275668,6.21262258972906
"4",3641972010690,37.324845,-106.850877,9990,0,0,0,0,17,1,0,0,0,0,31669277010690,259.174,211.43,20.6,0.4212,27.508,0.1156,27.6236,1.0492,"1","1",1.3,0.65,1,4.1,279.773781827044,269.659924429119,291.039924488114,28.2767363087909,6.66038204949435,14.4767746995242,1.87821061781459e-05,76.6608814397309,14.7836756284592,13.3810064075564,6.9562836468437,6.46262017609924
"5",3642016010690,36.993277,-106.863598,8110,0,0,11,0,0,0,0,0,0,0,31660398010690,165.486,147.742,9.238,0.6402,11.8436,0.0742,11.9178,0.4278,"2","2",1.225,1.225,1,4.6,280.272758206668,270.137254354625,291.447129245139,26.9893114459225,6.61866520558054,14.6681986277816,1.79639200874654e-05,76.7833442664208,14.6444870265065,13.1495448946902,6.8868370940078,6.1353531452871
"6",3642035010690,37.029956,-107.187032,6800,0,0,0,1,0,0,2,5,0,0,188757843020004,245.245,211.245,16.4,1.167,4.335,4.368,8.703,0.3385,"1","1",2.075,1.35,1,8,280.50793128802,270.272085399043,291.803293562955,26.7106559381423,6.81280158132905,14.7552790222188,1.71244954684566e-05,78.2695042179974,14.6328226333146,12.9168873634908,6.45659790902675,6.39421432395394
"7",3642338010690,40.156925,-105.296585,6100,0,0,8,0,0,0,0,0,0,0,3653392010690,467.963333333333,414.163333333333,11.7233333333333,0.136666666666667,41.0866666666667,0,41.0866666666667,1.387,"1","9",2.925,2.025,1,2,279.769487153804,269.818844491621,291.81797202258,30.3455279609153,9.71680142441204,20.3804658315196,2.54015520079269e-05,83.2765070809003,15.6051535196267,13.5223949750488,7.99867761683834,4.36593670927862
"8",3642370010690,40.162026,-105.458874,7860,5,0,11,0,0,0,0,0,5,0,4683692010690,132.875,111.66,16.15,0.20175,35.27925,0.0880000000000001,35.36725,0.80475,"1","1",0.4,0.325,1,5.9,279.40076863239,269.430849421453,291.464667038002,30.5454723463299,9.57248209712263,19.888761033025,2.46580867022965e-05,83.0666147581646,15.5894154805423,13.4503668983081,7.90833572946152,4.58655478721148
"9",3642478010690,38.431056,-106.14,9200,33,16,0,0,0,0,0,0,7,0,3642653010690,188.99,183.754,3.688,0.6642,25.1052,0.0901999999999999,25.1954,0.5138,"3","3",1.075,0.85,1,2.3,278.408952971,268.540930195912,289.786098986591,31.1930080313908,7.02673298424599,14.9460468463376,2.26903444505201e-05,74.5876908059796,15.316412227382,14.3908389701312,8.01617362091681,6.01761279166965
"10",3642565010690,38.934122,-106.098707,11080,0,5,0,0,0,26,0,0,0,0,31285441010690,293.808,250.542,11.706,0.6014,22.7284,0.0266,22.755,0.6676,"1","1",0.6,0.3,1,3.2,278.125336639022,268.249406905663,289.678159318968,31.8777265286993,7.46547905016595,15.6238328527136,2.29575349953872e-05,75.7768623885856,15.4353700411388,14.293335029412,7.98759741674307,6.02131361985536
"11",3642624010690,38.530261,-105.97632,7280,0,0,0,0,0,0,0,18,0,0,31285335010690,206.854,195.388,5.776,0.6352,16.2852,0.0457999999999999,16.331,0.6556,"1","1",0.85,0.75,1,0,278.474361080108,268.637619491337,289.850211350471,31.0579335433954,7.14096199918791,15.2719976161135,2.32664926631325e-05,74.5278164324977,15.3849432932944,14.521262155345,8.18523324655428,5.692226318679
"12",3642653010690,38.598314,-106.182629,9580,3,0,3,0,0,2,0,0,1,0,3642653010690,188.99,183.754,3.688,0.6642,25.1052,0.0901999999999999,25.1954,0.5138,"3","3",1.075,0.85,1,2.3,278.249245175313,268.371179794929,289.693598540482,31.5867867680353,7.14866107182648,15.0672589922526,2.26516669513757e-05,74.9748280069435,15.3467475799139,14.3333816341932,7.95491691860696,6.15654078463309
"13",3642711010690,38.592042,-106.111962,7910,5,0,0,0,0,0,0,16,0,0,3642653010690,188.99,183.754,3.688,0.6642,25.1052,0.0901999999999999,25.1954,0.5138,"3","3",1.075,0.85,1,2.3,278.303846491033,268.441396297651,289.729187179121,31.4467887994553,7.15450118552695,15.1458547536214,2.28714280169411e-05,74.8258104619995,15.364608000727,14.3970111810905,8.03721218396213,6.00338134724196
"14",3642756010690,38.57173,-106.261874,10950,0,0,0,0,0,0,0,0,46,0,3642653010690,188.99,183.754,3.688,0.6642,25.1052,0.0901999999999999,25.1954,0.5138,"3","3",1.075,0.85,1,2.3,278.225069992541,268.328543366836,289.680446695217,31.6714299176385,7.12155710168052,14.954435695316,2.23925572574159e-05,75.1037344599854,15.3186382810424,14.2660653627465,7.86132224049331,6.31675064183265
"15",3642823010690,38.888643,-106.214325,8850,0,0,9,0,0,0,0,0,0,0,31660966010690,425.93,329.79,31.45,0.113666666666667,25.9866666666667,0,25.9866666666667,0.77,"9","9",1.775,1.25,1,0.8,278.060143933075,268.159869112198,289.623047396738,32.0358536076271,7.40216476906977,15.409802611204,2.25866781742135e-05,75.857904188124,15.395018694505,14.2129213236918,7.86228994263658,6.26573391422996
"16",3642849010690,38.765194,-106.090383,7700,0,0,0,0,0,0,0,11,0,0,31660899010690,137.248,134.954,3.014,0.6548,21.793,0.0844,21.8774,0.481,"3","3",0.075,0.075,1,2.5,278.211847319614,268.348769741539,289.695594073852,31.6724844563172,7.30684490649003,15.3899712210536,2.29906087435811e-05,75.21500336344,15.4079205952749,14.3705815175358,8.0365531580155,5.98950673200654
